Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
CLE,Jarrett Allen,2442,16.5,2.7,7.38,3.16,0.69,1.05,12.81,0.08,0,1.74,C
CLE,Isaiah Mobley,72,2.3,0.6,0.7,0.3,0.2,0,1.4,1,0.3,3,F
CLE,Donovan Mitchell,1942,26.6,6.1,4.25,0.84,1.84,0.55,8.76,8.98,3.31,2.16,G
CLE,Darius Garland,1901,18,6.5,2.14,0.53,1.3,0.12,6.7,6.25,2.32,2.12,G
CLE,Dean Wade,1108,5.4,0.8,3.35,0.69,0.74,0.46,0.52,3.74,1.46,2.15,F-C
CLE,Caris LeVert,1958,14,5.1,3.54,0.57,1.12,0.5,6.18,4.88,1.59,2.96,G
CLE,Isaac Okoro,1887,9.4,1.9,2.01,0.97,0.83,0.49,4.29,3.12,1.22,2.44,F-G
CLE,Evan Mobley,1532,15.7,3.2,7.14,2.22,0.9,1.44,11.6,1.18,0.44,1.78,C
CLE,Max Strus,2239,12.2,4,3.89,0.94,0.91,0.41,3.66,6.84,2.4,2.53,G-F
CLE,Georges Niang,1831,9.4,1.2,3.12,0.27,0.37,0.22,2.85,4.83,1.82,1.36,F
LAL,LeBron James,2504,25.7,8.3,6.44,0.86,1.25,0.54,13.55,5.11,2.1,2.4,F
LAL,Jarred Vanderbilt,581,5.2,1.2,3.34,1.41,1.24,0.17,3.52,0.93,0.28,1.29,F
LAL,Gabe Vincent,218,3.1,1.9,0.45,0.36,0.82,0,1.45,2.55,0.27,4.2,G
LAL,Taurean Prince,2108,8.9,1.5,2.68,0.27,0.74,0.45,2.54,4.56,1.81,1.63,F
LAL,Jaxson Hayes,877,4.3,0.5,2.03,0.99,0.49,0.41,3.57,0.11,0,0.77,C-F
LAL,Rui Hachimura,1826,13.6,1.2,3.47,0.85,0.6,0.37,6.74,3.41,1.44,1.76,F
LAL,Harry Giles III,19,0.3,0,0.57,0,0.14,0,0.29,0.43,0,0,F-C
LAL,D'Moi Hodge,41,2,0.7,0,0,0.14,0.14,0.29,1.71,0.43,5,G
LAL,Maxwell Lewis,103,0.3,0.2,0.06,0.06,0.06,0.03,0.12,0.26,0.03,0.6,F
LAL,Spencer Dinwiddie,678,6.8,2.4,1.54,0.14,0.46,0.46,1.29,3.21,1.25,2.34,G
LAL,Dylan Windler,28,1.5,0.8,0.38,0,0,0,0,1,0.5,0,G-F
LAL,Cam Reddish,984,5.4,1,1.5,0.56,0.98,0.29,2.17,2.29,0.77,1.55,F-G
LAL,Skylar Mays,77,1.3,0.6,0.29,0.06,0.41,0.06,0.82,0.29,0.12,5,G
LAL,Christian Wood,872,6.9,1,4.3,0.78,0.32,0.66,3.32,2.28,0.7,0.98,F
LAL,Colin Castleton,59,1.5,0.2,0.38,0.38,0.13,0,1,0,0,1,C
LAL,Alex Fudge,14,1,0,0,0.5,0,0,0.5,0.5,0,0,F
LAL,Austin Reaves,2629,15.9,5.5,3.6,0.7,0.8,0.3,6.17,5.12,1.88,2.59,G
LAL,Jalen Hood-Schifino,109,1.6,0.4,0.52,0.1,0.14,0.1,0.38,0.71,0.1,0.89,G
LAL,D'Angelo Russell,2484,18,6.3,2.74,0.37,0.91,0.47,5.58,7.17,2.97,3.09,G
LAL,Max Christie,944,4.2,0.9,1.9,0.22,0.3,0.25,1.37,1.76,0.63,1.71,G
LAL,Anthony Davis,2700,24.7,3.5,9.5,3.14,1.2,2.34,15.71,1.41,0.38,1.67,F-C
CHA,Seth Curry,159,9,1.8,1.63,0.38,0.63,0.38,2.25,3.5,1.13,2.8,G
CHA,Ish Smith,741,3.2,3.4,1.51,0.26,0.4,0.09,1.95,0.19,0.09,3.09,G
CHA,Aleksej Pokuševski,345,7.4,1.7,3.56,0.83,0.78,0.67,3,2.44,0.89,1.88,F
CHA,Marques Bolden,118,4.1,0.4,2.44,1.11,0.33,0.78,3.78,0.11,0,1.33,C
CHA,Frank Ntilikina,43,1,0.8,1,0.2,0,0,0,1.6,0.2,4,G
CHA,Bryce McGowens,882,5.1,0.9,1.44,0.29,0.36,0.17,2.03,1.73,0.58,1.7,G
CHA,Grant Williams,888,13.9,3.2,3.76,1.38,0.69,0.41,6.28,4.34,1.62,1.66,F
CHA,Tre Mann,868,11.9,5.2,3.89,0.57,1.71,0.11,5.86,3.82,1.39,2.59,G
